,Exams,Percentage,Solution_code1,Solution_code2,Time_code1,Time_code2
148,20,0.01,,2.0,,1.8e-05
149,20,0.02,,2.0,,1.8e-05
150,20,0.03,,2.0,,1.9e-05
151,20,0.04,,2.0,,1.8e-05
152,20,0.05,,2.0,,1.8e-05
153,20,0.06,,2.0,,1.8e-05
154,20,0.07,,2.0,,5.7e-05
155,20,0.08,,2.0,,3.9e-05
156,20,0.09,,2.0,,6.7e-05
157,20,0.1,,2.0,,2.8000000000000006e-05
158,30,0.0,,2.0,,2.6e-05
159,30,0.01,,2.0,,2.7e-05
160,30,0.02,,2.0,,2.6e-05
161,30,0.03,,2.0,,2.5e-05
162,30,0.04,,2.0,,2.5e-05
163,30,0.05,,2.0,,8.3e-05
164,30,0.06,,2.0,,0.000161
165,30,0.07,,3.0,,0.000453
166,30,0.08,,3.0,,0.000285
167,30,0.09,,3.0,,0.000282
168,30,0.1,,3.0,,7.7e-05
169,40,0.0,,2.0,,3.6e-05
170,40,0.01,,2.0,,3.5e-05
171,40,0.02,,2.0,,3.5e-05
172,40,0.03,,3.0,,0.0016710000000000002
173,40,0.04,,3.0,,0.000308
174,10,0.0,1.0,,4.8e-05,
175,10,0.0001111111111111111,1.0,,5e-05,
176,10,0.0002222222222222222,1.0,,5.3e-05,
177,10,0.0003333333333333334,1.0,,5e-05,
178,10,0.0004444444444444444,1.0,,4.9e-05,
179,10,0.0005555555555555557,1.0,,5e-05,
180,10,0.0006666666666666668,1.0,,5.3e-05,
181,10,0.0007777777777777777,1.0,,5.2000000000000004e-05,
182,10,0.0008888888888888888,1.0,,4.9e-05,
183,10,0.001,1.0,,5.2000000000000004e-05,
184,20,0.0,1.0,,0.000221,
185,20,0.0001111111111111111,1.0,,0.000229,
186,20,0.0002222222222222222,1.0,,0.00021899999999999998,
187,20,0.0003333333333333334,1.0,,0.000215,
188,20,0.0004444444444444444,1.0,,0.000202,
189,20,0.0005555555555555557,1.0,,0.00020299999999999997,
190,20,0.0006666666666666668,1.0,,0.000199,
191,20,0.0007777777777777777,1.0,,0.00020299999999999997,
192,20,0.0008888888888888888,1.0,,0.00021400000000000002,
193,20,0.001,1.0,,0.000212,
194,30,0.0,1.0,,0.00048600000000000005,
195,30,0.0001111111111111111,1.0,,0.00048499999999999997,
