,Exams,Percentage,Solution_code1,Solution_code2,Time_code1,Time_code2
428,9,0.24,,2.0,,9e-06
429,9,0.25,,2.0,,1e-05
430,9,0.26,,2.0,,9e-06
431,9,0.27,,2.0,,9e-06
432,9,0.28,,2.0,,8e-06
433,9,0.29,,2.0,,8e-06
434,9,0.3,,2.0,,9e-06
435,9,0.31,,2.0,,8e-06
436,9,0.32,,2.0,,8e-06
437,9,0.33,,2.0,,8e-06
438,9,0.34,,2.0,,9e-06
439,9,0.35000000000000003,,2.0,,7.000000000000001e-06
440,9,0.36,,2.0,,9e-06
441,9,0.37,,2.0,,1e-05
442,9,0.38,,3.0,,2.7000000000000002e-05
443,9,0.39,,3.0,,2.8000000000000003e-05
444,9,0.4,,3.0,,2.6000000000000002e-05
445,9,0.41,,3.0,,2.6000000000000002e-05
446,9,0.42,,3.0,,2.6000000000000002e-05
447,9,0.43,,3.0,,2.6000000000000002e-05
448,9,0.44,,3.0,,2.3e-05
449,9,0.45,,3.0,,2.5e-05
450,9,0.46,,3.0,,2.5e-05
451,9,0.47,,3.0,,2.4e-05
452,9,0.48,,3.0,,2.4e-05
453,9,0.49,,3.0,,2.4e-05
454,9,0.5,,3.0,,2e-05
455,9,0.51,,4.0,,0.000153
456,9,0.52,,4.0,,0.000147
457,9,0.53,,4.0,,0.000146
458,9,0.54,,4.0,,8.8e-05
459,9,0.55,,4.0,,8.9e-05
460,9,0.56,,4.0,,8.2e-05
461,9,0.5700000000000001,,4.0,,8.2e-05
462,9,0.58,,4.0,,8.3e-05
463,9,0.59,,4.0,,9e-05
464,9,0.6,,4.0,,8.9e-05
465,9,0.61,,4.0,,8.9e-05
466,9,0.62,,4.0,,8.9e-05
467,9,0.63,,4.0,,9.1e-05
468,9,0.64,,4.0,,9e-05
469,9,0.65,,4.0,,9.7e-05
470,9,0.66,,4.0,,8.4e-05
471,9,0.67,,4.0,,8.3e-05
472,9,0.68,,4.0,,8.3e-05
473,9,0.6900000000000001,,4.0,,7.7e-05
474,9,0.7000000000000001,,4.0,,7.900000000000001e-05
475,9,0.71,,4.0,,7.8e-05
476,9,0.72,,4.0,,7.7e-05
477,9,0.73,,4.0,,7.7e-05
478,9,0.74,,4.0,,5.5e-05
479,9,0.75,,4.0,,4.3e-05
480,9,0.76,,4.0,,1.6e-05
481,9,0.77,,4.0,,1.9e-05
482,9,0.78,,4.0,,1.8e-05
483,9,0.79,,4.0,,1.9e-05
484,9,0.8,,4.0,,1.2e-05
485,9,0.81,,4.0,,1.1e-05
486,9,0.8200000000000001,,4.0,,1.2e-05
487,9,0.8300000000000001,,4.0,,1.1e-05
488,9,0.84,,4.0,,1.1e-05
489,9,0.85,,4.0,,1.1e-05
490,9,0.86,,4.0,,1.1e-05
491,9,0.87,,5.0,,3.5e-05
492,9,0.88,,5.0,,3.7e-05
493,9,0.89,,5.0,,3.8e-05
494,9,0.9,,5.0,,3.6e-05
495,9,0.91,,5.0,,4.4e-05
496,9,0.92,,6.0,,0.00011499999999999999
497,9,0.93,,6.0,,7.8e-05
498,9,0.94,,7.0,,0.00028199999999999997
499,9,0.95,,7.0,,0.00028199999999999997
500,9,0.96,,8.0,,0.0016079999999999998
501,9,0.97,,9.0,,0.008348000000000001
502,9,0.98,,9.0,,0.008192
503,9,0.99,,9.0,,0.008205
504,9,1.0,,9.0,,0.008402
505,10,0.0,,2.0,,8e-06
506,10,0.01,,2.0,,8e-06
507,10,0.02,,2.0,,7.000000000000001e-06
508,10,0.03,,2.0,,8e-06
509,10,0.04,,2.0,,8e-06
510,10,0.05,,2.0,,8e-06
511,10,0.06,,2.0,,8e-06
512,10,0.07,,2.0,,8e-06
513,10,0.08,,2.0,,7.000000000000001e-06
514,10,0.09,,2.0,,7.000000000000001e-06
515,10,0.1,,2.0,,7.000000000000001e-06
516,10,0.11,,2.0,,8e-06
517,10,0.12,,2.0,,8e-06
518,10,0.13,,2.0,,8e-06
519,10,0.14,,2.0,,8e-06
520,10,0.15,,2.0,,7.000000000000001e-06
521,10,0.16,,2.0,,8e-06
522,10,0.17,,2.0,,7.000000000000001e-06
523,10,0.18,,2.0,,9e-06
524,10,0.19,,2.0,,9e-06
525,10,0.2,,2.0,,7.000000000000001e-06
526,10,0.21,,2.0,,8e-06
527,10,0.22,,2.0,,7.000000000000001e-06
528,10,0.23,,2.0,,7.000000000000001e-06
529,10,0.24,,2.0,,8e-06
530,10,0.25,,2.0,,7.000000000000001e-06
531,10,0.26,,2.0,,9e-06
532,10,0.27,,2.0,,8e-06
533,10,0.28,,2.0,,8e-06
534,10,0.29,,2.0,,8e-06
535,10,0.3,,2.0,,6e-06
536,10,0.31,,2.0,,7.000000000000001e-06
537,10,0.32,,2.0,,1.1e-05
538,10,0.33,,2.0,,1.1e-05
539,10,0.34,,3.0,,1.9e-05
540,10,0.35000000000000003,,3.0,,1.9e-05
541,10,0.36,,3.0,,1.8e-05
542,10,0.37,,3.0,,1.9e-05
