,Exams,Percentage,Seed1,Seed2,Solution_code2,Time_code2
0,3,1.0,1382,31292,3,3e-06
1,1,1.0,1363,31268,1,0.0
2,13,1.0,1387,31320,13,40.174277
3,8,1.0,1337,31285,8,0.000742
4,5,1.0,1421,31246,5,8e-06
5,13,1.0,1335,31320,13,39.288327
6,8,1.0,1351,31273,8,0.000702
7,11,1.0,1335,31316,11,0.355807
8,13,1.0,1365,31331,13,39.921541
9,5,1.0,1404,31243,5,9e-06
10,4,1.0,1354,31320,4,5e-06
11,3,1.0,1342,31278,3,3e-06
12,1,1.0,1356,31271,1,0.0
13,12,1.0,1402,31322,12,3.570716
14,12,1.0,1329,31240,12,3.60919
15,9,1.0,1402,31327,9,0.004978
16,8,1.0,1346,31265,8,0.000709
17,5,1.0,1423,31314,5,7e-06
18,9,1.0,1397,31290,9,0.004885
19,2,1.0,1381,31317,2,2e-06
20,3,1.0,1372,31298,3,3e-06
21,9,1.0,1415,31262,9,0.005151
22,2,1.0,1339,31240,2,1e-06
23,9,1.0,1330,31279,9,0.00479
24,12,1.0,1405,31278,12,3.621573
25,4,1.0,1422,31251,4,5e-06
26,3,1.0,1328,31309,3,3e-06
27,12,1.0,1347,31314,12,3.702164
28,6,1.0,1327,31286,6,2.8e-05
29,11,1.0,1382,31242,11,0.36412
30,11,1.0,1373,31243,11,0.35737
31,7,1.0,1373,31242,7,0.000119
32,8,1.0,1370,31290,8,0.000705
33,3,1.0,1335,31268,3,3e-06
34,5,1.0,1419,31305,5,7e-06
35,13,1.0,1412,31304,13,39.703012
36,8,1.0,1334,31261,8,0.000737
37,10,1.0,1390,31264,10,0.039451
38,2,1.0,1399,31288,2,1e-06
39,8,1.0,1410,31294,8,0.0007
40,11,1.0,1346,31331,11,0.356486
41,1,1.0,1331,31282,1,0.0
42,6,1.0,1353,31287,6,2.6e-05
43,3,1.0,1422,31279,3,3e-06
44,5,1.0,1412,31305,5,7e-06
45,12,1.0,1345,31273,12,3.521757
46,3,1.0,1387,31251,3,3e-06
47,7,1.0,1380,31253,7,0.000118
48,5,1.0,1372,31252,5,8e-06
49,9,1.0,1342,31275,9,0.005002
50,7,1.0,1332,31299,7,0.000131
51,1,1.0,1356,31240,1,0.0
52,11,1.0,1339,31289,11,0.359878
53,8,1.0,1406,31258,8,0.00075
54,12,1.0,1376,31273,12,3.533008
55,6,1.0,1425,31300,6,2.5e-05
56,5,1.0,1391,31305,5,9e-06
57,13,1.0,1358,31249,13,39.525781
58,2,1.0,1401,31297,2,1e-06
59,8,1.0,1330,31264,8,0.000694
60,10,1.0,1370,31335,10,0.03958
61,2,1.0,1400,31326,2,1e-06
62,5,1.0,1327,31332,5,9e-06
63,9,1.0,1395,31317,9,0.004818
64,3,1.0,1376,31296,3,3e-06
65,5,1.0,1337,31244,5,7e-06
66,10,1.0,1415,31315,10,0.039189
67,3,1.0,1404,31296,3,3e-06
68,4,1.0,1372,31291,4,4e-06
69,11,1.0,1346,31265,11,0.354461
70,13,1.0,1410,31297,13,39.285284
71,8,1.0,1359,31259,8,0.000675
72,12,1.0,1371,31283,12,3.563668
73,7,1.0,1401,31304,7,0.000117
74,12,1.0,1336,31319,12,3.560239
75,10,1.0,1379,31274,10,0.038018
76,6,1.0,1348,31288,6,2.5e-05
77,9,1.0,1384,31242,9,0.004672
78,9,1.0,1396,31306,9,0.004721
79,2,1.0,1359,31288,2,1e-06
80,7,1.0,1333,31335,7,0.000114
81,4,1.0,1389,31283,4,4e-06
82,11,1.0,1373,31288,11,0.345397
83,3,1.0,1372,31297,3,2e-06
84,12,1.0,1419,31295,12,3.546092
85,2,1.0,1376,31246,2,1e-06
86,12,1.0,1344,31298,12,3.508454
87,1,1.0,1327,31292,1,0.0
88,8,1.0,1402,31276,8,0.000673
89,11,1.0,1356,31259,11,0.35433
90,2,1.0,1364,31290,2,1e-06
91,8,1.0,1403,31245,8,0.000673
92,8,1.0,1422,31326,8,0.000719
93,4,1.0,1341,31267,4,4e-06
94,7,1.0,1378,31240,7,0.000116
