,Exams,Percentage,Seed1,Seed2,Solution_code2,Time_code2
95,8,1.0,1361,31281,8,0.000703
96,1,1.0,1383,31276,1,0.0
97,7,1.0,1390,31286,7,0.000114
98,10,1.0,1405,31316,10,0.040078
99,1,1.0,1329,31305,1,0.0
100,12,1.0,1404,31248,12,3.563177
101,13,1.0,1374,31315,13,39.679907
102,9,1.0,1347,31274,9,0.004926
103,1,1.0,1370,31276,1,0.0
104,9,1.0,1353,31261,9,0.00479
105,8,1.0,1336,31328,8,0.000715
106,13,1.0,1410,31317,13,39.32218
107,10,1.0,1329,31259,10,0.040441
108,4,1.0,1382,31279,4,5e-06
109,13,1.0,1379,31321,13,39.215202
110,5,1.0,1351,31307,5,8e-06
111,7,1.0,1374,31290,7,0.000115
112,8,1.0,1398,31310,8,0.000742
113,2,1.0,1397,31334,2,1e-06
114,1,1.0,1349,31285,1,0.0
115,7,1.0,1360,31312,7,0.000116
116,5,1.0,1411,31312,5,8e-06
117,9,1.0,1409,31327,9,0.0048
118,10,1.0,1382,31271,10,0.039765
119,11,1.0,1374,31263,11,0.350163
120,10,1.0,1423,31242,10,0.037406
121,2,1.0,1391,31275,2,2e-06
122,9,1.0,1358,31316,9,0.00484
123,11,1.0,1420,31244,11,0.362936
124,6,1.0,1369,31331,6,2.4e-05
125,9,1.0,1381,31250,9,0.004979
126,6,1.0,1329,31272,6,2.5e-05
127,6,1.0,1339,31290,6,2.5e-05
128,5,1.0,1408,31265,5,8e-06
129,1,1.0,1411,31297,1,0.0
130,9,1.0,1385,31311,9,0.004845
131,10,1.0,1384,31315,10,0.039334
132,13,1.0,1351,31290,13,38.780098
133,7,1.0,1401,31315,7,0.000132
134,13,1.0,1393,31292,13,38.755188
135,2,1.0,1361,31246,2,1e-06
136,5,1.0,1419,31308,5,8e-06
137,11,1.0,1402,31264,11,0.353909
138,1,1.0,1363,31283,1,0.0
139,5,1.0,1402,31247,5,9e-06
140,4,1.0,1339,31274,4,4e-06
141,1,1.0,1387,31289,1,0.0
142,7,1.0,1408,31258,7,0.000116
143,6,1.0,1421,31291,6,3.7e-05
144,6,1.0,1403,31312,6,2.6e-05
145,1,1.0,1378,31240,1,0.0
146,5,1.0,1408,31303,5,8e-06
147,2,1.0,1421,31276,2,1e-06
148,11,1.0,1390,31264,11,0.412981
149,9,1.0,1344,31238,9,0.004968
150,5,1.0,1347,31295,5,8e-06
151,12,1.0,1405,31298,12,3.515274
152,11,1.0,1340,31331,11,0.363234
153,7,1.0,1334,31298,7,0.000118
154,11,1.0,1398,31274,11,0.36007
155,13,1.0,1400,31280,13,39.905799
156,3,1.0,1362,31275,3,3e-06
157,8,1.0,1340,31310,8,0.000718
158,1,1.0,1369,31320,1,0.0
159,2,1.0,1418,31279,2,2e-06
160,11,1.0,1373,31292,11,0.360845
161,8,1.0,1369,31247,8,0.000692
162,12,1.0,1369,31279,12,3.614092
163,10,1.0,1395,31254,10,0.040076
164,7,1.0,1360,31252,7,0.000124
165,5,1.0,1391,31321,5,8e-06
166,10,1.0,1341,31257,10,0.040179
167,2,1.0,1366,31321,2,1e-06
168,2,1.0,1362,31300,2,2e-06
169,4,1.0,1351,31297,4,4e-06
170,5,1.0,1380,31272,5,8e-06
171,2,1.0,1406,31283,2,1e-06
172,5,1.0,1379,31286,5,7e-06
173,8,1.0,1364,31316,8,0.000687
174,4,1.0,1326,31299,4,4e-06
175,6,1.0,1391,31319,6,2.5e-05
176,7,1.0,1402,31284,7,0.000115
177,1,1.0,1410,31255,1,0.0
178,13,1.0,1396,31290,13,39.847496
179,13,1.0,1337,31273,13,39.247545
180,11,1.0,1389,31304,11,0.353302
181,6,1.0,1339,31253,6,2.7e-05
182,8,1.0,1358,31236,8,0.000704
183,7,1.0,1359,31260,7,0.000114
184,9,1.0,1367,31289,9,0.005036
185,12,1.0,1330,31293,12,3.592946
186,1,1.0,1340,31284,1,0.0
187,8,1.0,1406,31270,8,0.000701
188,13,1.0,1326,31296,13,39.761146
189,5,1.0,1417,31308,5,8e-06
190,13,1.0,1340,31306,13,39.763815
191,2,1.0,1336,31301,2,2e-06
192,5,1.0,1351,31258,5,7e-06
193,11,1.0,1327,31272,11,0.351019
194,2,1.0,1396,31256,2,1e-06
195,3,1.0,1380,31323,3,3e-06
196,2,1.0,1331,31298,2,1e-06
197,5,1.0,1406,31289,5,7e-06
198,13,1.0,1334,31331,13,39.704865
199,8,1.0,1382,31244,8,0.000819
200,7,1.0,1411,31236,7,0.000114
201,9,1.0,1331,31294,9,0.004889
202,10,1.0,1413,31311,10,0.039968
203,4,1.0,1339,31315,4,4e-06
204,4,1.0,1351,31325,4,4e-06
205,9,1.0,1345,31299,9,0.005
206,1,1.0,1378,31276,1,0.0
207,8,1.0,1378,31247,8,0.000709
208,5,1.0,1424,31333,5,7e-06
209,12,1.0,1385,31311,12,3.692051
210,13,1.0,1340,31303,13,40.222892
211,9,1.0,1408,31245,9,0.004871
212,5,1.0,1359,31286,5,9e-06
213,12,1.0,1340,31244,12,3.616639
214,1,1.0,1352,31323,1,0.0
215,3,1.0,1386,31260,3,4e-06
216,6,1.0,1408,31309,6,2.5e-05
217,12,1.0,1381,31243,12,3.647309
218,12,1.0,1336,31276,12,3.608055
219,8,1.0,1413,31255,8,0.000703
220,13,1.0,1327,31260,13,39.385045
221,1,1.0,1364,31290,1,0.0
222,5,1.0,1355,31335,5,8e-06
223,7,1.0,1420,31297,7,0.000115
224,9,1.0,1421,31317,9,0.004896
225,2,1.0,1342,31280,2,1e-06
226,11,1.0,1348,31250,11,0.372132
227,5,1.0,1373,31266,5,8e-06
228,10,1.0,1341,31290,10,0.038041
229,5,1.0,1405,31305,5,8e-06
230,13,1.0,1368,31310,13,39.306437
231,11,1.0,1393,31252,11,0.357647
232,13,1.0,1378,31274,13,39.447783
233,3,1.0,1367,31320,3,3e-06
234,3,1.0,1367,31292,3,3e-06
235,9,1.0,1355,31305,9,0.005025
236,9,1.0,1415,31309,9,0.00486
237,9,1.0,1363,31334,9,0.004908
238,4,1.0,1359,31313,4,5e-06
239,5,1.0,1363,31324,5,8e-06
240,2,1.0,1394,31314,2,1e-06
241,8,1.0,1358,31317,8,0.000683
242,9,1.0,1372,31313,9,0.004892
243,9,1.0,1404,31259,9,0.004876
244,5,1.0,1385,31315,5,8e-06
245,10,1.0,1332,31262,10,0.039541
246,5,1.0,1372,31264,5,8e-06
247,11,1.0,1345,31324,11,0.359575
248,2,1.0,1351,31307,2,2e-06
249,4,1.0,1334,31245,4,4e-06
250,9,1.0,1372,31247,9,0.005012
251,11,1.0,1392,31241,11,0.358481
252,13,1.0,1387,31327,13,39.731999
253,1,1.0,1406,31297,1,0.0
254,6,1.0,1382,31320,6,2.6e-05
255,9,1.0,1412,31308,9,0.004912
256,3,1.0,1398,31254,3,3e-06
257,3,1.0,1381,31329,3,3e-06
258,9,1.0,1372,31279,9,0.004996
259,12,1.0,1340,31320,12,3.579343
260,10,1.0,1365,31265,10,0.039301
261,2,1.0,1349,31276,2,1e-06
262,2,1.0,1415,31262,2,2e-06
263,13,1.0,1340,31239,13,39.683606
264,4,1.0,1407,31334,4,4e-06
265,7,1.0,1421,31255,7,0.000121
266,6,1.0,1352,31274,6,2.4e-05
267,3,1.0,1425,31260,3,3e-06
268,2,1.0,1401,31294,2,1e-06
269,5,1.0,1421,31283,5,8e-06
270,5,1.0,1342,31314,5,8e-06
271,13,1.0,1412,31330,13,39.551383
272,4,1.0,1389,31288,4,5e-06
273,5,1.0,1401,31240,5,8e-06
274,8,1.0,1377,31310,8,0.000712
275,7,1.0,1424,31323,7,0.000138
276,2,1.0,1361,31249,2,1e-06
277,13,1.0,1353,31299,13,39.46719
278,13,1.0,1346,31326,13,39.364522
279,6,1.0,1389,31332,6,2.5e-05
280,1,1.0,1346,31291,1,0.0
281,2,1.0,1401,31324,2,1e-06
282,1,1.0,1330,31237,1,0.0
283,11,1.0,1397,31242,11,0.347901
284,10,1.0,1396,31310,10,0.038037
285,3,1.0,1368,31271,3,2e-06
286,9,1.0,1413,31256,9,0.004833
287,12,1.0,1390,31307,12,3.564017
288,5,1.0,1354,31276,5,7e-06
289,1,1.0,1332,31314,1,0.0
290,3,1.0,1341,31319,3,3e-06
291,8,1.0,1358,31242,8,0.000698
292,6,1.0,1379,31268,6,2.4e-05
293,4,1.0,1375,31268,4,5e-06
294,5,1.0,1394,31275,5,7e-06
295,7,1.0,1330,31265,7,0.000117
296,5,1.0,1402,31316,5,1e-05
297,3,1.0,1394,31334,3,3e-06
298,2,1.0,1368,31326,2,1e-06
299,10,1.0,1414,31262,10,0.039456
300,2,1.0,1392,31271,2,1e-06
301,7,1.0,1413,31252,7,0.000108
302,3,1.0,1344,31328,3,3e-06
303,6,1.0,1370,31298,6,2.5e-05
304,7,1.0,1412,31255,7,0.000116
305,10,1.0,1415,31290,10,0.039162
306,9,1.0,1374,31254,9,0.005004
307,1,1.0,1410,31237,1,0.0
308,7,1.0,1355,31319,7,0.000114
309,8,1.0,1415,31333,8,0.000733
310,2,1.0,1416,31284,2,1e-06
311,4,1.0,1388,31309,4,4e-06
312,11,1.0,1359,31239,11,0.354889
313,9,1.0,1343,31280,9,0.004844
314,1,1.0,1371,31238,1,0.0
315,11,1.0,1420,31278,11,0.35797
316,5,1.0,1360,31311,5,7e-06
317,3,1.0,1368,31332,3,3e-06
318,6,1.0,1352,31329,6,2.5e-05
319,7,1.0,1422,31260,7,0.000115
320,13,1.0,1392,31293,13,39.621887
321,11,1.0,1424,31238,11,0.352929
322,5,1.0,1382,31244,5,7e-06
323,2,1.0,1332,31264,2,1e-06
324,10,1.0,1368,31331,10,0.04
325,4,1.0,1341,31256,4,4e-06
326,11,1.0,1352,31274,11,0.359499
327,6,1.0,1358,31238,6,2.6e-05
328,9,1.0,1347,31261,9,0.004895
329,12,1.0,1355,31300,12,3.590974
330,5,1.0,1351,31299,5,8e-06
331,7,1.0,1338,31264,7,0.000119
332,12,1.0,1369,31277,12,3.583845
333,9,1.0,1399,31332,9,0.004959
334,11,1.0,1399,31278,11,0.356009
335,1,1.0,1423,31256,1,0.0
336,1,1.0,1349,31264,1,0.0
337,4,1.0,1334,31312,4,4e-06
338,9,1.0,1420,31266,9,0.00485
339,1,1.0,1403,31265,1,0.0
340,9,1.0,1353,31272,9,0.004941
341,11,1.0,1408,31297,11,0.357718
342,5,1.0,1349,31239,5,8e-06
343,10,1.0,1422,31329,10,0.038864
344,7,1.0,1371,31275,7,0.000118
345,10,1.0,1350,31318,10,0.040413
346,7,1.0,1369,31282,7,0.000118
347,9,1.0,1396,31272,9,0.00473
348,3,1.0,1385,31268,3,4e-06
349,5,1.0,1380,31293,5,8e-06
350,1,1.0,1385,31273,1,0.0
351,7,1.0,1360,31321,7,0.000114
352,9,1.0,1388,31256,9,0.005032
353,7,1.0,1326,31315,7,0.000123
354,9,1.0,1345,31333,9,0.005006
355,12,1.0,1398,31321,12,3.559518
356,10,1.0,1416,31332,10,0.040466
357,11,1.0,1347,31243,11,0.363067
358,9,1.0,1380,31283,9,0.00494
359,10,1.0,1371,31288,10,0.040108
360,10,1.0,1346,31296,10,0.039652
361,6,1.0,1366,31240,6,2.7e-05
362,2,1.0,1414,31318,2,2e-06
363,7,1.0,1332,31288,7,0.000124
364,7,1.0,1411,31265,7,0.000119
365,9,1.0,1403,31307,9,0.00511
366,2,1.0,1354,31284,2,1e-06
367,8,1.0,1340,31318,8,0.000698
368,9,1.0,1422,31283,9,0.004964
369,13,1.0,1346,31307,13,39.825419
370,8,1.0,1348,31296,8,0.000706
371,6,1.0,1396,31297,6,2.7e-05
372,2,1.0,1392,31295,2,1e-06
373,3,1.0,1387,31324,3,3e-06
374,10,1.0,1348,31236,10,0.041244
375,3,1.0,1332,31293,3,3e-06
376,1,1.0,1390,31245,1,0.0
377,8,1.0,1396,31318,8,0.000744
378,6,1.0,1329,31271,6,2.5e-05
379,11,1.0,1381,31333,11,0.372746
380,12,1.0,1360,31275,12,3.567614
381,11,1.0,1346,31306,11,0.362075
382,9,1.0,1396,31323,9,0.005024
383,5,1.0,1404,31249,5,8e-06
384,2,1.0,1342,31316,2,1e-06
385,7,1.0,1327,31328,7,0.000116
386,6,1.0,1393,31315,6,2.5e-05
387,10,1.0,1364,31278,10,0.038866
388,2,1.0,1406,31329,2,2e-06
389,1,1.0,1390,31236,1,0.0
390,8,1.0,1401,31316,8,0.000711
391,12,1.0,1332,31316,12,3.621095
392,3,1.0,1359,31291,3,4e-06
393,1,1.0,1360,31281,1,0.0
394,6,1.0,1394,31332,6,2.5e-05
395,8,1.0,1349,31270,8,0.000738
396,8,1.0,1354,31311,8,0.000736
397,10,1.0,1385,31298,10,0.039894
398,7,1.0,1337,31238,7,0.000118
399,2,1.0,1380,31237,2,2e-06
400,8,1.0,1385,31254,8,0.000684
401,2,1.0,1399,31311,2,1e-06
402,2,1.0,1398,31269,2,2e-06
403,5,1.0,1330,31321,5,7e-06
404,3,1.0,1421,31292,3,3e-06
405,5,1.0,1352,31294,5,8e-06
406,4,1.0,1337,31254,4,4e-06
407,13,1.0,1355,31287,13,39.899293
408,7,1.0,1412,31281,7,0.000114
409,11,1.0,1339,31274,11,0.359999
410,2,1.0,1359,31322,2,2e-06
411,5,1.0,1386,31238,5,9e-06
412,13,1.0,1425,31267,13,39.869153
413,6,1.0,1410,31330,6,2.5e-05
414,11,1.0,1380,31236,11,0.363343
415,12,1.0,1370,31282,12,3.553644
416,2,1.0,1384,31322,2,1e-06
417,10,1.0,1368,31252,10,0.039866
418,6,1.0,1364,31312,6,2.4e-05
419,11,1.0,1342,31237,11,0.358614
420,3,1.0,1343,31313,3,3e-06
421,5,1.0,1331,31285,5,8e-06
422,13,1.0,1398,31246,13,39.727126
423,8,1.0,1339,31267,8,0.000742
424,1,1.0,1382,31254,1,0.0
425,5,1.0,1392,31264,5,8e-06
426,11,1.0,1416,31244,11,0.358506
427,8,1.0,1416,31292,8,0.000688
428,11,1.0,1400,31270,11,0.363203
429,10,1.0,1367,31296,10,0.039126
430,4,1.0,1339,31289,4,4e-06
431,5,1.0,1412,31280,5,9e-06
432,10,1.0,1346,31332,10,0.041644
433,11,1.0,1400,31250,11,0.355632
434,10,1.0,1348,31271,10,0.038803
435,4,1.0,1351,31329,4,4e-06
436,4,1.0,1372,31269,4,4e-06
437,4,1.0,1336,31256,4,4e-06
438,6,1.0,1422,31283,6,2.5e-05
439,11,1.0,1400,31319,11,0.353709
440,5,1.0,1379,31279,5,8e-06
441,10,1.0,1417,31288,10,0.038779
442,4,1.0,1381,31289,4,4e-06
443,1,1.0,1378,31249,1,0.0
444,11,1.0,1402,31319,11,0.355158
445,9,1.0,1337,31293,9,0.004821
446,7,1.0,1381,31293,7,0.000113
447,8,1.0,1419,31284,8,0.00072
448,3,1.0,1359,31330,3,4e-06
449,9,1.0,1350,31298,9,0.00511
450,5,1.0,1343,31280,5,8e-06
451,6,1.0,1356,31326,6,2.7e-05
452,6,1.0,1353,31256,6,2.6e-05
453,3,1.0,1360,31279,3,3e-06
454,3,1.0,1365,31333,3,3e-06
455,1,1.0,1335,31294,1,0.0
456,13,1.0,1362,31320,13,39.923802
457,7,1.0,1367,31305,7,0.000118
458,7,1.0,1419,31332,7,0.000115
459,13,1.0,1419,31259,13,39.63962
460,11,1.0,1412,31294,11,0.358476
461,13,1.0,1392,31334,13,39.636583
462,6,1.0,1366,31277,6,2.6e-05
463,8,1.0,1337,31302,8,0.000714
464,4,1.0,1338,31301,4,3e-06
465,5,1.0,1384,31333,5,8e-06
466,11,1.0,1397,31247,11,0.359968
467,6,1.0,1376,31255,6,2.5e-05
468,8,1.0,1386,31242,8,0.000702
469,7,1.0,1360,31335,7,0.000116
470,8,1.0,1354,31245,8,0.000721
471,5,1.0,1390,31254,5,8e-06
472,9,1.0,1413,31280,9,0.004939
473,11,1.0,1410,31275,11,0.376558
474,8,1.0,1378,31266,8,0.00073
475,6,1.0,1349,31316,6,2.5e-05
476,1,1.0,1395,31308,1,0.0
477,1,1.0,1418,31323,1,0.0
478,5,1.0,1395,31310,5,8e-06
479,10,1.0,1413,31254,10,0.040369
480,4,1.0,1385,31253,4,4e-06
481,12,1.0,1371,31238,12,3.635642
482,12,1.0,1360,31282,12,3.652899
483,5,1.0,1383,31318,5,9e-06
484,6,1.0,1400,31307,6,2.6e-05
485,10,1.0,1333,31263,10,0.040471
486,4,1.0,1378,31314,4,4e-06
487,7,1.0,1358,31252,7,0.000119
488,5,1.0,1347,31272,5,8e-06
489,4,1.0,1398,31307,4,5e-06
490,13,1.0,1332,31305,13,39.927133
491,11,1.0,1369,31238,11,0.35339
492,6,1.0,1360,31295,6,2.7e-05
493,7,1.0,1360,31328,7,0.000123
494,10,1.0,1355,31258,10,0.039658
495,5,1.0,1370,31328,5,8e-06
496,13,1.0,1378,31243,13,39.816393
497,1,1.0,1369,31290,1,0.0
498,1,1.0,1365,31280,1,0.0
499,6,1.0,1406,31240,6,2.6e-05
